time,open,high,low,close,tick_volume,spread,rsi,ovo,cvc,hvh,lvl,ATRr_14,cd_atr,rsi_cat,rsi_diff,body_size,range_size,body_vs_atr,range_vs_atr,candle_color,exec
9/15/2025 15:15,147.361,147.373,147.296,147.346,1310,21,44.84752936,-1,-1,-1,-1,0.070969096,-0.21,2,-1,0.015,0.077,0.21,1.09,-1,WAIT
9/15/2025 15:30,147.346,147.346,147.237,147.268,1755,22,38.92294067,-1,-1,-1,-1,0.07368591,-1.1,2,-1,0.078,0.109,1.1,1.54,-1,WAIT
9/15/2025 15:45,147.268,147.285,147.243,147.258,1373,22,38.2257276,-1,-1,-1,1,0.071422382,-0.14,2,-1,0.01,0.042,0.14,0.57,-1,WAIT
9/15/2025 16:00,147.257,147.34,147.22,147.278,1333,21,40.52051144,-1,1,1,-1,0.074892566,0.28,2,1,0.021,0.12,0.29,1.68,1,WAIT
9/15/2025 16:15,147.279,147.319,147.24,147.266,1017,20,39.5706863,1,-1,-1,1,0.075185982,-0.16,2,-1,0.013,0.079,0.17,1.05,-1,WAIT
9/15/2025 16:30,147.267,147.303,147.237,147.254,1251,21,38.59637017,-1,-1,-1,-1,0.074529783,-0.16,2,-1,0.013,0.066,0.17,0.88,-1,WAIT
9/15/2025 16:45,147.254,147.34,147.244,147.336,1074,20,48.01562275,-1,1,1,1,0.076063495,1.1,2,1,0.082,0.096,1.1,1.29,1,WAIT
9/15/2025 17:00,147.336,147.432,147.335,147.386,1093,20,52.77286068,1,1,1,1,0.077559073,0.66,2,1,0.05,0.097,0.66,1.28,1,WAIT
9/15/2025 17:15,147.387,147.443,147.384,147.432,727,21,56.69889023,1,1,1,1,0.076233332,0.59,2,1,0.045,0.059,0.58,0.76,1,WAIT
9/15/2025 17:30,147.433,147.458,147.354,147.419,1003,20,55.29976869,1,-1,1,-1,0.078216795,-0.17,2,-1,0.014,0.104,0.18,1.36,-1,WAIT
9/15/2025 17:45,147.419,147.451,147.389,147.406,1155,20,53.86824546,-1,-1,-1,1,0.077058382,-0.17,2,-1,0.013,0.062,0.17,0.79,-1,WAIT
9/15/2025 18:00,147.406,147.424,147.345,147.37,1176,22,50.0076412,-1,-1,-1,-1,0.077197077,-0.47,2,-1,0.036,0.079,0.47,1.03,-1,WAIT
9/15/2025 18:15,147.369,147.37,147.308,147.313,737,21,44.56205425,-1,-1,-1,-1,0.076111515,-0.74,2,-1,0.056,0.062,0.73,0.8,-1,WAIT
9/15/2025 18:30,147.314,147.351,147.299,147.35,697,20,48.48366796,-1,1,-1,-1,0.07438918,0.49,2,1,0.036,0.052,0.47,0.68,1,WAIT
